,AD,Compul,SW
SDS_10,0.023366065248228828,0.06149797931382277,0.0035324480110155983
SDS_11,0.025923898373707427,0.022927369177178497,-0.005279066906441143
SDS_12,0.02497329921794563,-0.008134076165211723,-0.0027466486707078963
SDS_13,0.007590040228808326,0.09217897505338027,-0.001232615039959306
SDS_14,0.04890887451619562,-0.031657880004775235,0.004616930816992274
SDS_16,0.045333667790185855,-0.012433892597903312,0.012426934633613268
SDS_17,0.048294908714338544,-0.017081334393885123,0.0050580438358057075
SDS_18,0.041355528366276866,-0.014965826982537414,0.001498935981728712
SDS_20,0.07707167018635695,-0.009140395528726742,0.008325103269787543
STAI_1,0.05530032539171408,-0.008407470780905282,0.009844396682833323
STAI_3,0.05875439407720985,-0.018670794755443948,-0.002620887248141697
STAI_4,0.022597350825388916,0.015560301154440698,0.005961482122749414
STAI_5,0.046052831164344096,0.0523393384763326,0.007698801395177624
STAI_7,0.043207862177153826,-0.01602844611979518,0.01469019025981285
STAI_8,0.03212818743492355,0.05502871168658147,0.0012612236473758705
STAI_10,0.08651467220980785,-0.015215290361765745,0.009897557320378236
STAI_11,0.011582854859876516,0.10345734555980848,-0.008685376734669925
STAI_12,0.02993910244439131,-0.001799530595702769,0.036725611032840014
STAI_13,0.04195719984941505,-0.005595540804515017,-0.0008409825380642499
STAI_16,0.05764573187356665,-0.010509982791123265,-0.002038843592443457
STAI_17,-0.0033874370203730853,0.05541027923483018,0.012190051466496765
STAI_19,0.053732765330171926,0.028196545694079332,-0.002829661502600764
STAI_20,0.013182694144390583,0.04576919773753388,0.013586147867162387
OCI_2,-0.01548425404462123,0.04500641255794708,0.014306799335956995
OCI_3,-0.01723598052816257,0.025456520780619295,0.010552477016357888
OCI_4,-0.019558210748887202,0.056128558042006206,-0.00041683797777134195
OCI_6,0.01681353751788953,0.07524956300415506,-0.002923252652392714
OCI_7,-0.002317573255307701,0.038672532912338256,0.004303013493378416
OCI_9,-0.010349717359442108,0.04930099912026005,0.017676451294943066
OCI_11,-0.03258060540676112,0.0912135997433961,0.010388887220501549
OCI_12,-0.004957576972121441,0.0693070878211782,-0.0002891430269587221
OCI_13,-0.007110938381139829,0.044689053414386344,0.010459389591590257
OCI_15,-0.01968971153614011,0.031127345159951886,0.01610367208633873
OCI_18,-0.007359057205587234,0.07346361164797757,0.0003392809841695583
LSAS_2,0.0028137498633597283,0.0031432213340481952,0.08706985823001429
LSAS_5,0.00991434810319429,0.0001221527335724809,0.05727489308276392
LSAS_6,-0.013750526728368772,-0.012138757511286253,0.043776465910413453
LSAS_7,0.009731882681514809,-0.021225049548005248,0.10086019241784087
LSAS_8,-0.014794603106268877,0.008167053574348142,0.05247575718313739
LSAS_9,-0.003892159786850518,0.012124565620016098,0.04365423106014539
LSAS_10,-0.00655003951341511,0.005924532992809422,0.06582544747532976
LSAS_11,-0.006470993719246199,-0.00993828579551891,0.09043990155865181
LSAS_12,0.004395761324234089,-0.023850916785126478,0.09758155261397529
LSAS_14,-0.013230526156340395,0.028369687592334315,0.08560791159417255
LSAS_15,-0.005354196749953913,-0.029829037821733108,0.08074661650862243
LSAS_16,-0.0022410030836805712,-0.008855878509345029,0.07529624613070503
LSAS_18,-0.0022252924627431496,-0.007491925975276859,0.048744412784185114
LSAS_19,-0.0002940915841039525,0.006778251621925332,0.047121268970944624
LSAS_20,-0.0052838176241756865,-0.02208130433013856,0.06285908651578594
LSAS_21,-0.0002590036207014146,-0.010773505342899599,0.028593244136366495
LSAS_22,-0.0019101314873145002,0.014786044220952303,0.059018051100087
LSAS_23,0.004167380731008771,-0.009993985799933217,0.04988141738954028
LSAS_24,-0.006192667763519047,-0.00511083389931483,0.03512052551772746
BIS_6,-0.0008093410799320253,0.08969054047526051,0.0013767507541453863
BIS_9,0.05934998967963205,0.0250306065731246,-0.0112032296472124
BIS_13,0.04935820601773666,0.004167533331918483,-0.02452477320803202
BIS_14,0.014706394651242335,0.035594181158861246,-0.011014378738525765
BIS_17,0.011418429741209716,0.1012953101596056,-0.05106609575320347
BIS_19,0.001253635166817273,0.06497039092174323,-0.048257853513131554
BIS_20,0.063973296048574,0.01534567439635623,-0.037286113919818294
BIS_22,0.015791853824855408,0.04651437087110451,-0.023057605172424344
BIS_25,0.01212426220121638,0.07379450193464943,-0.02955662262082808
EAT_1,-0.01024914384465899,0.06652061274522594,0.009482467560096722
EAT_11,-0.029497401112036373,0.09714074636046455,0.007554442831883727
AES_1,0.09174865842126105,-0.009358350239338526,0.0024024800876406745
AES_2,0.049358210457064296,0.009047155090448296,-0.012355995145615004
AES_7,0.05846921367653844,-0.06575023098088187,0.01579390598005198
AES_8,0.04845550880144804,-0.005335058482295603,-0.022129515916804787
AES_16,0.05837254497515028,-0.011704775866396728,-0.006310201857888781
AES_17,0.062410416093815535,-0.03569851764643716,0.004229381531932438
AES_18,0.08289937340273137,-0.00384238315374541,-0.013276906180033146
Intercept,-3.2617757033459336,-1.8615013143038455,-1.393376002404492
